3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
EST,1210507301,White sardine,Alose blanche,Sardina blanca,سردين أبيض,叶鲱,NA,Escualosa thoracata,(Valenciennes 1847),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CKI,1210507801,Araucanian herring,Hareng araucian,Sardina araucana,NA,NA,NA,Strangomera bentincki,(Norman 1936),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
RTA,1210508001,Jenyns's sprat,Sardinelle de la Plata,Sardinela del Plata,سردينة بلاطا,宆若鲱,NA,Ramnogaster arcuata,(Jenyns 1842),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SRB,1210508301,Two-finned round herring,NA,NA,NA,NA,NA,Spratellomorpha bianalis,(Bertin 1940),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CDM,1210508501,Day's round herring,NA,NA,NA,NA,NA,Dayella malabarica,(Day 1873),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CEF,1210509401,Malabar sprat,Sprat de Malabar,Sardina de Malabar,إسبرط مالابار,南亚多棱圆鲱,NA,Ehirava fluviatilis,Deraniyagala 1929,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HPV,1210509701,Sandy sprat,NA,NA,NA,NA,NA,Hyperlophus vittatus,(Castelnau 1875),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CLP,12105XXXXX,"Herrings, sardines nei","Harengs, sardines nca","Arenques, sardinas nep",NA,NA,NA,Clupeidae,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ANE,1210600201,European anchovy,Anchois,Boquerón,NA,NA,Анчоус европейский,Engraulis encrasicolus,(Linnaeus 1758),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
JAN,1210600202,Japanese anchovy,Anchois japonais,Anchoíta japonesa,NA,NA,NA,Engraulis japonicus,Temminck & Schlegel 1846,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
